"ID","Password","UserID","gender","age","working_years","working_months","job_years","job_months","emp_stat"
"1","pw1","0001","F","44","1","1","2","2","part"
"2","pw2","0002","F","22","","3","","1","casual"
"3","pw3","0003","","","","","","",""
"4","pw4","0004","","","","","","",""
"5","pw5","0005","","","","","","",""
"6","pw6","0006","","","","","","",""
"7","pw7","0007","","","","","","",""
"8","pw8","0008","","","","","","",""
"9","pw9","0009","","","","","","",""
"10","pw10","0010","","","","","","",""
